,year,selling_price,transmission,engine,max_power,torque
85,2016,315000,1,112,180,400
86,2016,275000,1,112,180,400
88,2012,290000,1,2,224,436
89,2017,280000,1,112,168,390
90,2010,225000,1,119,197,408
91,2015,455000,1,11,242,27
92,2015,351000,1,2,224,436
93,2012,535000,1,46,14,129
94,2009,175000,1,119,222,424
95,2013,525000,1,10,265,37
96,2016,600000,1,13,242,178
97,2016,565000,0,10,262,50
98,2008,120000,1,112,178,398
99,2017,725000,1,24,290,221
100,2009,185000,1,119,220,424
101,2010,200000,1,13,295,192
102,2019,615000,1,10,259,41
103,2016,270000,1,9,235,5
104,2018,610000,1,10,268,55
105,2014,625000,0,71,45,287
106,2020,400000,1,8,305,67
107,2017,866000,1,42,49,127
108,2010,700000,1,53,98,263
109,2010,300000,1,5,213,430
110,2019,1700000,1,71,92,331
111,2016,375000,1,26,229,95
112,2013,522000,1,39,60,274
113,2013,451999,1,24,291,219
114,2009,300000,1,53,71,150
115,2020,475000,1,119,219,424
116,2016,780000,1,13,287,193
117,2017,595000,1,10,270,55
118,2017,440000,1,119,219,424
120,2014,400000,1,29,271,194
121,2016,1140000,1,39,57,275
122,2017,850000,1,36,315,199
123,2012,370000,1,13,239,178
124,2018,350000,1,120,218,426
125,2015,360000,1,119,219,424
126,2008,105000,1,112,178,398
127,2013,625000,1,13,291,193
128,2009,135000,1,2,204,431
129,2015,700000,1,13,291,193
130,2019,690000,1,11,281,16
131,2018,3975000,0,59,136,353
132,2019,5150000,0,83,151,197
133,2017,3200000,0,67,122,362
134,2017,4100000,0,109,164,320
135,2019,4500000,0,67,86,341
136,2017,6000000,0,103,157,395
137,2018,3790000,0,64,135,348
139,2019,5800000,0,64,139,348
140,2018,1864999,0,53,123,256
141,2016,2700000,0,69,150,375
142,2019,1750000,0,28,75,265
143,2017,795000,0,35,41,115
144,2013,625000,0,53,69,150
145,2018,3400000,0,60,139,345
146,2015,2650000,0,101,156,384
147,2015,535000,1,13,287,193
148,2017,5850000,0,103,165,373
149,2010,975000,0,87,88,254
150,2016,805000,1,52,80,156
151,2017,2625000,0,67,122,362
152,2018,811000,1,11,25,143
153,2011,375000,1,46,14,129
154,2012,550000,1,52,80,156
155,2016,645000,0,46,12,129
156,2018,2550000,0,62,130,290
157,2014,599000,1,21,302,85
158,2017,2700000,0,62,129,289
159,2017,875000,0,35,36,118
160,2019,894999,0,10,259,41
161,2011,175000,1,119,220,424
162,2012,340000,1,10,259,41
163,2016,1525000,0,96,116,328
164,2018,1025000,0,35,25,278
165,2016,2150000,0,64,139,348
166,2016,1900000,0,85,94,209
167,2016,2900000,0,64,139,348
168,2009,450000,0,79,104,230
169,2016,850000,1,21,296,85
170,2017,10000000,0,60,176,399
171,2011,300000,1,46,14,260
172,2018,575000,1,9,283,34
173,2011,160000,1,25,223,139
174,2015,515000,1,10,259,41
175,2015,390000,0,119,218,424
176,2016,550000,1,10,260,48
177,1999,40000,1,112,170,388
178,2010,220000,1,13,239,43
179,2015,425000,1,10,262,50
180,2019,480000,1,120,246,428
181,2014,400000,1,10,262,50
182,2014,487000,1,10,278,50
183,2016,386000,1,10,262,50
184,2005,100000,1,32,0,78
185,2010,300000,1,19,284,201
186,2000,100000,1,112,184,403
187,2014,1750000,1,102,109,318
188,2016,450000,1,11,262,54
189,2017,490000,1,13,242,174
190,2009,345000,1,35,42,116
191,2005,85000,1,117,200,411
192,2010,215000,1,119,222,424
193,2010,320000,1,47,8,102
194,2016,459999,1,10,270,55
195,2005,65000,1,17,267,53
196,2020,720000,1,10,261,58
197,2017,800000,1,13,287,193
198,2019,520000,1,12,274,49
199,2015,580000,1,13,291,193
201,2015,600000,1,35,40,115
202,2014,290000,1,11,283,16
203,2016,360000,1,119,196,408
204,2017,550000,1,10,270,55
205,2013,375000,1,10,265,37
207,2018,420000,0,119,218,424
208,2017,550000,1,10,259,41
209,2018,270000,1,112,180,400
210,2018,700000,0,10,259,41
211,2017,500000,1,10,259,41
212,2019,1250000,1,71,84,300
213,2013,320000,1,10,265,37
214,2018,700000,1,13,243,178
215,2015,290000,1,119,219,424
216,2012,550000,0,49,71,150
217,2012,265000,1,11,283,16
218,2018,830000,0,10,268,55
219,2017,800000,1,71,84,300
220,2011,160000,1,112,178,398
221,2018,335000,1,113,186,405
222,2017,329000,1,11,218,10
223,2017,775000,1,13,287,193
224,2020,524000,1,10,261,36
225,2015,245000,1,112,180,400
226,2012,275000,1,10,255,19
227,2018,520000,1,7,289,105
229,2014,550000,1,36,308,89
230,2018,910000,1,35,51,124
231,2015,300000,1,11,219,10
232,2016,350000,1,119,219,424
233,2013,900000,1,95,101,315
234,2013,300000,1,32,0,241
235,2010,250000,1,13,239,178
236,2017,1100000,1,39,57,275
237,2016,270000,1,113,186,405
238,2015,640000,1,13,291,193
239,2015,650000,1,71,74,311
240,2017,409999,1,9,235,5
241,2011,165000,1,2,204,431
242,2007,80000,1,33,304,64
243,2012,535000,1,71,74,311
244,2013,700000,1,85,2,191
245,2013,550000,1,13,242,178
246,2019,680000,0,12,291,31
247,2009,200000,1,10,253,33
248,2014,500000,1,13,242,178
249,2016,1000000,1,13,287,193
250,2008,110000,1,17,266,22
251,2012,320000,1,10,255,19
253,2015,350000,1,10,269,41
254,2013,170000,1,26,230,94
255,2017,800000,1,24,290,221
256,2017,500000,1,13,242,178
257,2017,1380000,0,71,91,348
258,2019,1300000,1,35,48,294
259,2013,530000,1,39,59,275
260,2012,360000,1,13,242,178
261,2012,310000,1,13,239,178
262,2015,725000,1,36,311,193
263,2012,340000,1,13,239,178
264,2017,550000,1,6,241,171
265,2011,1150000,1,102,115,318
266,2016,380000,1,0,228,106
267,2013,350000,0,36,319,89
268,2019,610000,1,10,261,58
269,2015,525000,1,10,270,55
270,2011,480000,1,85,5,187
271,2017,780000,1,88,19,248
272,2012,320000,1,13,239,178
273,2014,375000,1,10,259,41
274,2019,300000,1,11,220,10
275,2015,500000,1,24,290,221
276,2011,404000,1,71,45,287
277,2015,500000,1,100,229,229
278,2017,350000,1,0,228,106
279,2015,380000,1,7,289,105
280,2008,114999,1,33,304,64
281,2014,335000,1,11,283,16
282,2015,465000,0,10,262,50
283,2012,290000,1,13,291,192
284,2005,110000,1,112,178,398
285,2011,450000,1,71,71,302
286,2009,400000,1,90,205,157
287,2007,210000,1,90,205,157
288,2018,4600000,0,69,112,346
289,2016,220000,1,112,167,388
290,2017,450000,1,10,262,50
292,2013,290000,0,10,253,33
293,2016,520000,1,10,259,41
294,2011,265000,0,10,253,33
295,2012,330000,1,10,278,50
297,2014,509999,1,90,204,182
298,2014,500000,1,42,49,130
299,2015,525000,1,10,261,46
300,2019,675000,1,10,259,41
301,2010,300000,1,10,255,19
302,2005,90000,1,112,178,398
303,2017,650000,1,13,242,178
304,2014,409000,1,10,278,50
305,2015,395000,1,3,230,137
307,2014,400000,1,10,278,50
308,2012,120000,1,12,254,15
309,2018,645000,0,12,274,49
310,2006,81000,1,112,170,388
311,2017,1300000,1,36,309,193
312,2017,1250000,1,36,309,193
313,2013,535000,1,21,302,85
314,2014,555000,1,29,25,249
315,2014,725000,1,35,40,115
317,2016,229999,1,113,186,405
318,2013,800000,1,85,3,188
319,2017,409999,1,119,219,424
320,2018,1210000,1,24,289,221
321,2017,400000,1,12,274,49
322,2018,520000,1,6,241,170
323,2016,650000,0,10,268,55
324,2011,325000,1,14,286,21
325,2012,420000,0,10,278,50
326,2014,400000,1,10,259,41
327,2010,254999,1,10,255,19
328,2003,65000,1,117,200,411
329,2017,351000,1,119,219,424
330,2007,404000,1,85,5,187
331,2011,185000,1,13,239,178
332,2011,250000,1,29,206,139
333,2002,60000,1,117,200,411
334,2013,500000,1,42,49,130
335,2007,85000,1,119,222,424
337,2005,85000,1,112,178,398
338,2011,265000,1,13,239,178
339,2010,130000,1,119,216,424
340,2013,480000,1,13,291,193
341,2008,170000,1,13,246,178
342,2011,275000,1,29,206,139
343,2005,89000,1,119,222,424
344,2010,170000,1,25,223,139
345,2019,1090000,1,10,28,195
346,2017,1100000,0,39,57,275
347,2018,610000,1,10,259,41
348,2016,335000,1,11,218,10
349,2015,434999,1,10,262,50
350,2018,3000000,1,96,118,358
351,2018,390000,1,113,185,405
352,2012,325000,1,11,283,16
353,2019,640000,1,11,237,27
354,2012,450000,1,36,308,89
355,2013,400000,1,19,221,144
356,2009,215000,1,10,253,33
357,2014,570000,1,29,271,194
358,2012,680000,1,71,74,311
359,2008,325000,1,85,5,187
360,2011,150000,1,7,209,4
361,2013,690000,0,52,80,156
362,2013,1550000,0,69,112,346
363,2012,64000,1,110,172,381
364,2013,250000,1,29,206,139
365,2005,65000,1,119,222,424
366,2016,550000,1,13,242,178
367,2010,140000,1,10,253,32
368,2016,300000,1,113,186,405
369,2016,800000,0,53,138,259
373,2015,503000,1,71,84,300
374,2019,3800000,0,60,139,345
375,2016,2000000,0,85,94,209
376,2013,225000,1,119,220,424
377,2018,740000,1,13,242,178
378,2016,550000,1,12,289,31
379,2013,750000,1,85,3,188
380,2019,650000,0,10,259,41
381,2017,625000,1,34,290,88
382,2018,600000,0,10,259,41
383,2017,450000,1,6,241,170
384,2019,5400000,0,64,139,348
385,2019,5500000,0,64,139,348
386,2019,779000,0,12,291,31
388,2018,2475000,0,61,88,322
389,2010,150000,1,10,253,32
391,2009,500000,0,77,97,216
392,2015,480000,1,13,242,178
393,2014,535000,1,39,60,274
394,2005,250000,1,85,5,187
395,2012,300000,1,13,292,193
396,2009,340000,1,47,8,103
397,2009,340000,1,32,28,250
398,2016,240000,1,112,180,400
399,2018,1085000,0,35,41,115
400,2017,750000,0,13,243,178
401,2012,95000,1,26,230,79
402,2020,409999,1,9,202,417
403,2014,215000,1,119,220,424
404,2016,1290000,0,71,74,311
405,2010,150000,1,119,222,424
406,2013,219000,1,114,189,407
407,2018,325000,1,12,274,49
408,2013,260000,1,9,235,5
428,2019,700000,0,36,253,138
429,2017,950000,1,24,289,221
430,2010,160000,1,112,178,398
431,2015,409999,1,3,232,159
432,2015,840000,1,85,3,191
433,2013,450000,1,19,222,144
434,2017,900000,1,13,243,178
435,2008,570000,1,85,5,187
436,2011,254999,1,29,206,139
437,2009,130000,1,112,170,388
438,2013,530000,1,13,242,178
439,2015,520000,1,36,292,237
440,2011,229999,1,29,210,139
441,2004,81000,1,112,170,388
442,2016,600000,1,13,242,178
443,2015,409999,1,10,261,35
444,2010,120000,1,112,170,388
445,2014,320000,1,119,219,424
446,2015,292000,1,25,224,139
447,2012,390000,1,71,69,302
448,2016,550000,1,9,283,34
449,2014,385000,1,119,219,424
450,2016,800000,1,42,49,127
451,2019,675000,1,10,259,41
452,2018,1525000,1,71,91,348
453,2018,950000,1,36,315,199
454,2015,610000,1,24,290,218
455,2012,525000,1,24,290,221
457,2015,375000,1,90,204,182
458,2015,580000,1,29,271,194
459,2015,434999,1,10,269,55
460,2020,350000,1,120,218,426
461,2012,730000,1,85,0,191
462,2015,600000,1,10,260,48
463,2015,1050000,1,85,3,191
464,2017,735000,1,13,242,178
465,2018,1050000,1,29,23,245
466,2016,420000,1,13,236,148
467,2017,800000,1,13,287,193
468,2015,2000000,0,102,109,330
469,2016,600000,1,13,242,178
470,2015,1900000,0,102,109,330
471,2011,500000,1,62,83,307
472,2011,200000,1,26,231,90
473,2016,370000,1,11,219,10
474,2010,260000,1,32,28,239
475,2016,280000,1,11,250,173
476,2014,610000,1,21,302,85
477,2013,300000,1,36,295,198
478,2010,140000,1,26,230,101
479,2008,229999,1,2,224,436
480,2010,200000,1,119,216,424
481,2011,200000,1,119,222,424
482,2015,560000,1,39,57,275
483,2016,750000,1,13,287,193
484,2017,585000,1,13,242,178
485,2016,760000,1,42,52,130
486,2014,430000,1,13,242,178
487,2020,480000,1,11,250,173
488,2019,643000,1,32,33,268
489,2018,500000,1,10,261,36
490,2016,425000,1,11,283,16
491,2014,250000,1,112,180,400
492,2016,285000,1,111,179,73
493,2008,160000,1,14,278,50
494,2011,250000,1,46,14,260
495,2013,170000,1,12,254,15
496,2013,409999,1,19,221,144
497,2015,400000,0,10,262,50
498,2019,700000,1,13,243,178
499,2007,350000,0,54,62,149
500,2016,660000,1,21,296,85
501,2017,268000,1,112,180,400
502,2016,270000,1,112,180,400
503,2013,300000,1,116,194,123
504,2017,450000,1,12,274,49
505,2012,220000,1,116,194,123
506,2009,250000,1,71,68,302
507,2012,300000,1,9,230,7
508,2009,88000,1,24,183,416
509,2016,561000,1,13,242,178
510,2018,755000,1,13,243,178
511,2017,235000,1,113,188,405
512,2011,165000,1,119,222,424
513,2008,190000,1,13,239,178
514,2011,110000,1,24,187,412
515,2012,320000,1,90,205,160
517,2016,540000,1,10,260,48
518,2013,180000,1,114,189,407
520,2012,450000,1,10,278,50
521,2014,450000,1,10,278,50
522,2015,200000,1,12,248,12
523,2017,425000,1,12,274,49
524,2016,400000,1,12,263,14
525,2009,125000,1,112,178,398
526,2018,1600000,1,58,112,324
527,2015,900000,1,35,40,115
528,2012,450000,1,46,14,260
529,2011,210000,1,119,222,424
530,2018,801000,1,10,260,48
531,2014,317000,1,26,230,95
532,2015,600000,1,21,302,85
533,2014,330000,1,10,265,37
534,2017,320000,1,114,189,407
536,2007,120000,1,17,267,53
537,2009,130000,1,112,178,398
538,2015,220000,1,12,263,14
540,2015,340000,1,7,289,105
541,2013,200000,1,25,218,139
542,2002,140000,1,112,178,398
543,2013,1000000,1,85,3,188
544,2010,495000,1,90,205,157
545,2015,236000,1,112,180,400
546,2015,390000,1,119,219,424
547,2009,275000,1,13,239,178
549,2017,775000,1,13,287,193
550,2016,1800000,0,96,116,328
551,2016,850000,1,39,57,275
552,2018,750000,1,13,287,193
553,2018,570000,1,10,260,48
554,2018,580000,1,10,261,36
555,2016,484999,1,12,289,31
556,2017,700000,1,35,40,115
557,2012,415000,1,35,34,111
558,2015,325000,0,11,247,11
559,2018,550000,1,9,283,34
560,2017,300000,1,114,189,407
561,2018,217000,1,113,188,405
562,2018,700000,1,8,305,67
563,2019,466000,0,2,223,440
564,2014,484999,1,36,315,199
565,2018,670000,1,29,276,196
566,2018,500000,1,10,261,36
567,2016,675000,1,13,287,193
568,2011,220000,1,24,295,224
569,2017,1650000,1,58,112,324
570,2013,630000,1,13,292,193
571,2010,250000,1,13,295,192
572,2004,120000,1,119,222,424
573,2015,300000,1,36,13,260
574,2013,525000,0,39,59,275
577,2016,1100000,1,65,45,284
578,2012,480000,1,29,23,249
579,2014,605000,1,71,74,311
580,2016,250000,1,112,180,400
581,2013,245000,1,25,226,139
582,2012,210000,1,10,253,32
583,2020,730000,1,10,259,41
584,2012,500000,1,90,204,182
585,2015,400000,1,119,219,424
586,2015,280000,1,114,189,407
587,2009,561000,1,85,5,187
588,2013,950000,1,82,121,351
589,2016,375000,1,116,191,109
590,2017,700000,1,36,27,261
591,2012,375000,1,34,289,88
592,2012,270000,1,114,189,407
593,2016,300000,1,113,186,405
594,2010,225000,1,119,222,424
595,2015,1350000,1,85,3,188
596,2010,200000,1,119,222,424
597,2011,400000,1,39,60,274
598,2013,500000,1,36,311,193
599,2015,500000,1,10,259,41
600,2013,1500000,1,96,118,358
601,2015,555000,1,37,28,108
602,2018,580000,0,10,261,36
603,2011,337000,1,71,71,302
604,2011,175000,1,56,223,51
605,2009,180000,1,13,295,192
606,2011,200000,1,2,224,436
607,2016,260000,1,26,229,95
608,2016,350000,1,120,218,426
609,2011,409999,1,90,205,157
610,2017,655000,1,32,0,241
611,2015,370000,1,13,242,178
612,2013,200000,1,112,180,400
613,2017,800000,1,13,287,193
614,2019,550000,1,12,272,49
615,2012,300000,1,25,223,139
616,2017,220000,1,112,167,388
617,2011,196000,1,119,222,424
618,2008,135000,1,2,224,436
619,2015,299000,1,7,289,105
620,2017,300000,1,119,220,424
621,2017,720000,1,13,287,193
622,2016,650000,1,71,84,300
623,2016,300000,1,119,220,424
624,2019,750000,1,6,241,170
625,2016,260000,1,113,186,405
626,2011,300000,1,13,242,178
627,2014,600000,1,90,204,182
628,2004,275000,0,105,152,184
629,2015,250000,1,119,220,424
630,2014,420000,1,13,242,178
631,2015,235000,1,114,189,407
632,2016,1100000,1,71,45,284
633,2019,360000,1,119,220,424
634,2014,380000,1,3,230,137
635,2016,650000,1,36,310,199
636,2016,350000,1,119,219,424
637,2017,700000,1,90,205,160
638,2010,270000,1,24,295,224
639,2017,450000,1,13,242,174
640,2016,630000,1,88,19,248
641,2010,229999,1,88,31,277
643,2011,270000,1,119,222,424
644,2009,135000,1,5,213,421
645,2012,275000,1,119,222,424
665,2015,634000,1,32,0,241
666,2012,235000,1,119,216,424
667,2008,275000,1,10,253,33
668,2014,700000,1,88,19,248
669,2013,400000,1,13,300,202
670,2012,215000,1,112,178,398
671,2009,150000,1,32,28,250
672,2018,950000,1,13,287,193
673,2015,730000,1,32,0,241
674,2012,135000,1,26,231,91
675,2016,350000,1,10,262,50
676,2018,535000,1,11,262,54
677,2018,455000,1,10,278,50
678,2019,655000,1,10,259,41
679,2019,800000,1,36,315,199
680,2018,1100000,0,34,21,107
681,2016,3000000,0,69,150,375
682,2012,1225000,0,102,111,318
683,2018,340000,1,11,262,54
684,2011,300000,1,46,14,260
685,2016,370000,1,9,283,34
686,2013,330000,1,90,204,182
687,2014,238000,1,2,204,431
689,2013,200000,1,2,204,431
690,2014,320000,1,29,276,196
691,2009,114999,1,2,204,431
692,2015,320000,1,119,219,424
693,2010,210000,1,2,224,436
694,2011,200000,1,84,307,226
695,2009,135000,1,1,218,415
696,2015,350000,1,26,229,95
697,2014,350000,1,90,205,160
698,2017,680000,1,13,243,178
699,2010,200000,1,13,246,178
700,2016,300000,1,120,218,426
701,2011,270000,1,88,31,277
702,2012,225000,1,119,222,424
703,2008,250000,1,90,205,157
704,2015,590000,1,32,0,241
705,2015,290000,1,114,189,407
706,2010,100000,1,119,222,424
707,2016,395000,1,119,219,424
708,2014,195000,1,114,189,407
709,2011,45000,1,110,168,372
710,2009,270000,1,90,205,157
711,2014,600000,1,89,234,147
712,2015,715000,1,24,290,221
713,2019,600000,1,10,261,58
714,2019,875000,1,32,0,241
715,2011,420000,1,71,35,281
716,2007,325000,0,77,89,213
717,2017,385000,1,11,221,10
718,2016,300000,1,11,262,54
719,2012,335000,1,24,291,220
720,2014,300000,1,119,219,424
721,2004,80000,1,33,304,64
722,2012,400000,1,90,204,182
723,2012,168000,1,24,228,95
724,2016,550000,1,90,204,183
726,2011,320000,1,90,205,157
727,2011,320000,1,90,205,160
728,2011,350000,1,36,308,89
729,2013,280000,1,13,291,192
730,2017,550000,1,3,231,159
731,2018,500000,1,10,261,36
732,2019,700000,1,8,305,67
733,2013,380000,1,46,12,260
734,2012,340000,1,90,205,160
735,2007,160000,1,90,205,157
736,2014,750000,1,85,3,191
737,2018,531000,0,10,261,36
738,2017,300000,1,120,218,426
739,2014,350000,1,36,292,237
740,2010,150000,1,12,254,15
741,2015,450000,1,10,259,41
742,2017,1625000,1,71,74,311
745,2006,85000,1,26,223,100
746,2018,450000,1,10,261,36
748,2017,360000,1,0,228,106
749,2020,390000,1,119,220,424
750,2011,145000,1,9,235,5
751,2012,540000,1,71,45,287
752,2008,290000,1,85,5,187
753,2013,300000,1,24,228,106
754,2017,565000,1,9,283,34
755,2011,441000,1,92,45,287
757,2011,180000,1,114,189,407
758,2013,200000,1,114,189,407
759,2005,85000,1,112,178,398
760,2006,67500,1,24,183,416
761,2016,700000,1,13,287,193
762,2010,275000,1,12,239,161
763,2019,600000,1,10,261,36
764,2011,250000,1,84,307,226
765,2016,600000,1,90,205,160
766,2010,200000,1,13,297,202
767,2015,425000,1,3,230,137
768,2012,420000,1,13,239,178
769,2012,321000,1,24,295,224
770,2012,350000,1,88,31,277
771,2017,490000,1,11,281,16
772,2015,680000,1,90,246,190
773,2016,298000,1,119,220,424
775,2011,450000,1,71,35,281
777,2012,250000,1,13,242,174
778,2013,1075000,0,99,93,334
779,2017,500000,1,10,262,50
780,2019,681000,1,8,305,67
781,2014,650000,1,71,74,311
782,2008,80000,1,4,244,29
783,2009,290000,1,90,205,157
784,2006,220000,1,71,45,287
785,2009,120000,1,2,203,431
786,2017,229999,1,113,184,406
787,2003,150000,1,90,205,157
788,2014,500000,1,10,278,50
789,2013,175000,1,24,228,95
790,2019,720000,1,8,305,67
791,2012,100000,1,112,170,388
792,2009,250000,0,54,62,149
793,2014,810000,1,71,74,311
794,2010,165000,1,112,178,398
795,2016,409999,1,63,20,280
796,2013,430000,1,13,242,178
797,2015,300000,1,11,218,10
798,2011,350000,1,13,239,178
799,2018,400000,1,120,218,426
800,2016,420000,1,13,236,148
801,2015,430000,1,119,219,424
802,2017,573000,1,10,259,41
803,2015,210000,1,114,189,407
804,2015,600000,1,29,23,249
805,2008,150000,1,35,251,66
806,2019,550000,1,12,274,49
807,2011,320000,1,13,239,178
808,2000,80000,1,112,170,388
809,2019,800000,1,36,312,193
810,2013,500000,1,21,302,85
811,2011,229999,1,13,295,192
813,2015,630000,1,10,260,48
814,2016,190000,1,112,167,388
816,2011,450000,1,90,205,157
817,2008,95000,1,112,178,398
818,2009,101000,1,112,168,390
819,2016,500000,1,36,311,193
820,2014,1019999,1,85,3,191
821,2012,244000,1,114,189,407
822,2013,250000,1,119,219,424
823,2016,660000,1,10,268,55
824,2010,270000,1,10,255,19
825,2012,280000,1,13,240,178
826,2017,1050000,1,39,57,275
827,2017,525000,1,10,270,55
828,2017,850000,1,39,57,275
829,2016,1165000,1,65,74,301
830,2012,345000,1,10,278,50
831,2007,95000,1,2,205,421
832,2015,241000,1,112,180,400
833,2015,235000,1,112,180,400
834,2015,615000,1,36,310,199
835,2014,350000,1,29,210,139
836,2014,350000,1,119,219,424
837,2014,380000,1,119,219,424
838,2017,400000,1,100,229,229
839,2010,220000,1,119,222,424
840,2008,270000,1,71,45,251
841,2012,275000,1,10,279,50
842,2009,125000,1,26,231,95
843,2015,360000,1,2,224,436
844,2019,550000,1,10,261,36
845,2011,200000,1,22,223,135
846,2016,327000,1,11,262,54
847,2016,425000,1,2,224,436
848,2017,620000,1,13,243,178
849,2011,130000,1,13,246,168
850,2009,120000,1,112,178,398
851,2011,400000,1,71,45,287
852,2007,185000,1,32,28,250
853,2015,204999,1,119,224,427
854,2017,625000,1,13,243,178
855,2013,600000,1,13,292,193
856,2011,150000,1,24,277,77
858,2013,229999,1,12,276,44
859,2018,220000,1,112,167,388
860,2016,576000,1,10,260,48
861,2016,265000,1,113,186,405
863,2011,300000,1,39,60,274
864,2017,420000,1,0,228,106
865,2015,750000,1,13,291,193
866,2012,165000,1,112,180,400
867,2017,290000,1,113,186,405
868,2011,160000,1,114,189,407
869,2017,695000,1,13,242,178
870,2012,231000,1,119,197,408
871,2015,1050000,1,19,284,201
872,2013,400000,1,10,265,37
873,2016,500000,1,10,260,48
874,2010,150000,1,13,292,192
875,2016,400000,1,71,43,285
876,2010,120000,1,26,230,79
877,2014,480000,1,71,43,285
878,2013,200000,1,26,229,95
879,2012,300000,1,25,218,139
880,2015,350000,1,119,219,424
881,2019,580000,1,120,233,434
882,2012,200000,1,116,194,123
883,2016,750000,1,71,45,284
884,2016,261000,1,113,186,405
885,2015,371000,1,12,263,14
886,2010,320000,1,90,205,157
887,2012,204999,1,24,228,95
888,2003,110000,1,33,304,64
889,2009,150000,1,25,223,140
890,2016,625000,1,90,204,182
891,2017,1300000,1,65,45,284
892,2015,900000,1,59,75,305
893,2010,180000,1,25,223,139
894,2010,421000,1,90,205,157
896,2017,900000,1,36,311,193
897,2006,165000,1,35,251,66
898,2010,270000,1,24,295,224
899,2017,750000,1,13,287,193
900,2019,750000,1,10,261,47
901,2002,40000,1,112,170,388
902,2011,190000,1,25,223,139
903,2009,395000,1,85,5,187
904,2010,800000,1,102,115,318
905,2011,315000,1,10,255,19
906,2014,1600000,0,59,81,303
907,2013,409999,1,19,219,144
909,2013,340000,1,10,265,37
910,2015,270000,1,114,189,407
911,2017,280000,1,13,242,174
912,2012,130000,1,13,242,174
913,2014,260000,1,114,189,407
914,2018,710000,1,6,241,170
915,2013,204999,1,9,235,5
916,2017,300000,1,11,218,10
917,2009,180000,1,13,239,178
918,2016,700000,1,32,0,241
919,2012,320000,1,24,295,224
920,2020,370000,1,112,180,400
921,2018,340000,1,113,186,405
922,2019,1040000,1,30,8,99
923,2018,750000,1,24,291,218
924,2018,600000,1,71,45,284
925,2016,550000,1,90,205,160
926,2013,600000,1,85,2,191
927,2017,550000,1,0,228,106
928,2015,750000,1,36,311,193
929,2019,450000,1,2,223,440
930,2012,400000,1,13,291,193
931,2016,520000,1,13,242,178
932,2013,199000,1,119,222,424
933,2012,150000,1,116,194,123
934,2016,540000,1,24,290,218
935,2011,250000,1,13,292,193
936,2010,200000,1,1,218,415
937,2011,130000,1,24,228,106
938,2007,90000,1,112,170,388
939,2012,450000,1,39,60,274
940,2009,280000,1,32,28,250
941,2007,280000,1,100,71,302
942,2006,120000,1,117,200,411
943,2008,290000,1,13,246,178
944,2019,1000000,1,24,289,221
945,2012,415000,1,13,239,178
946,2012,415000,1,13,242,178
